"","x","y","extent","depth","vdepth","horizontal","relief","skyline","building","sdi","greeney","pavement"
"130",13467721.300175,305551.45655146,63800,3194.8050542044,367.48449158442,40800,0.466742487978505,190.696814228609,0.0329153605015674,0.83,0.101880877742947,0.396551724137931
"131",13467990.2357224,305557.043984639,77900,3010.43351427073,333.906024576872,41900,0.462644696078308,142.039381487255,0.0526315789473684,1.088,0.150192554557125,0.31193838254172
"132",13468142.6233713,305562.265986264,59700,2910.19642579456,360.66559970607,37200,0.422310225598741,172.289590755823,0.050251256281407,0.898,0.127303182579564,0.296482412060302
"133",13468184.4204915,305563.563631911,56800,2883.61045300966,383.57994083148,35100,0.429527694943687,183.467961370996,0.0457746478873239,0.936,0.117957746478873,0.28169014084507
"134",13468226.2176116,305564.861277558,56800,2807.38749680076,344.566135559986,36500,0.484199577618298,181.470293473061,0.0545774647887324,0.974,0.0845070422535211,0.292253521126761
"135",13468268.0147317,305566.158923204,52700,2831.54257596696,347.161338876874,30900,0.422231937321738,175.43704310197,0.0493358633776091,0.99,0.144212523719165,0.299810246679317
"136",13468309.8118518,305567.456568851,40200,2806.0811581863,408.102594464534,22700,0.411165374146218,181.793214266424,0.0572139303482587,1.016,0.176616915422886,0.246268656716418
"137",13468351.608972,305568.754214498,33000,2566.29953231415,230.64077517428,29600,0.567383907064111,406.363054411899,0.0212121212121212,0.557,0.00606060606060606,0.36969696969697
"138",13467845.8270634,305659.097147229,84200,3030.94587511637,350.141156900789,39000,0.47434244061752,115.982400528294,0.123515439429929,1.3,0.166270783847981,0.286223277909739
"139",13467803.2362061,305658.482308757,86100,3060.89967837789,327.027840138394,37000,0.50086619857563,114.601699680377,0.1068524970964,1.183,0.185830429732869,0.286875725900116
"140",13467718.0650032,305657.614707256,75000,1828.28309258598,286.704646771149,38300,0.472452633791501,20.4069912355393,0.109333333333333,1.157,0.138666666666667,0.306666666666667
"141",13468263.4505654,305668.592859453,63400,2467.44473181058,318.513587829895,38000,0.44789849493394,155.047602086276,0.0914826498422713,1.05,0.082018927444795,0.329652996845426
"142",13468219.2993323,305667.818116755,49700,2779.81894583846,360.282189617143,28000,0.394466697304417,195.916517613261,0.0885311871227364,1.091,0.0764587525150905,0.317907444668008
"143",13468175.1688561,305666.494836243,55300,2808.30206830969,351.416042278024,31500,0.433108791482186,159.634789616143,0.126582278481013,1.255,0.10126582278481,0.27124773960217
"144",13468042.7134009,305664.244134573,58600,2469.32814747112,313.103287206336,31700,0.441019843696958,153.027865247333,0.0972696245733788,1.258,0.0938566552901024,0.325938566552901
"145",13468546.6698769,305677.341601822,65300,3301.22036616563,482.136909810655,33900,0.461378817640724,150.376263439305,0.0842266462480858,1.123,0.11791730474732,0.274119448698315
"146",13468874.766198,305681.883147374,75600,3176.62631400597,412.480619014816,37900,0.513058662141194,84.7262279054072,0.177248677248677,1.192,0.078042328042328,0.318783068783069
"147",13468833.9748649,305681.243153596,76300,3211.56003684701,712.179020794351,36700,0.57754864386867,104.089677247818,0.211009174311927,1.388,0.0825688073394495,0.275229357798165
"148",13467941.4618118,303995.549826009,17600,2378.96365744084,350.234226491208,5200,2.9325040997781,310.444605699138,0,0.502,0.193181818181818,0.454545454545455
